frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
181,6.0333,0.9213,0.64583,1,0,0.01063,2.0,15.39,0.31,12.0,1,0,0
182,6.0667,0.9213,0.64583,1,0,0.01059,2.0,15.32,0.311,12.0,1,0,0
183,6.1,0.9213,0.64583,1,0,0.00962,2.0,15.384,0.303,12.0,1,0,0
184,6.1333,0.9213,0.64583,1,0,0.00981,2.0,15.377,0.292,12.0,1,0,0
185,6.1667,0.90741,0.58333,1,0,0.00958,1.0,15.455,0.285,12.0,1,0,0
186,6.2,0.90741,0.58333,1,0,0.00985,1.0,15.44,0.273,12.0,1,0,0
187,6.2333,0.90741,0.58333,1,0,0.00884,1.0,15.506,0.293,12.0,1,0,0
188,6.2667,0.90741,0.58333,1,0,0.00946,1.0,15.482,0.287,12.0,1,0,0
189,6.3,0.91667,0.625,1,0,0.00946,2.0,15.441,0.291,12.0,1,0,0
190,6.3333,0.91667,0.625,1,0,0.01001,2.0,15.428,0.29,12.0,1,0,0
191,6.3667,0.91667,0.625,1,0,0.0102,2.0,15.448,0.3,12.0,1,0,0
192,6.4,0.91667,0.625,1,0,0.01121,2.0,15.312,0.311,12.0,1,0,0
193,6.4333,0.91667,0.625,1,0,0.0116,2.0,15.387,0.276,12.0,1,0,0
194,6.4667,0.90741,0.58333,1,0,0.01125,1.0,15.453,0.269,12.0,1,0,0
195,6.5,0.90741,0.58333,1,0,0.01094,1.0,15.534,0.271,12.0,1,0,0
196,6.5333,0.90741,0.58333,1,0,0.01164,1.0,15.56,0.275,12.0,1,0,0
197,6.5667,0.90741,0.58333,1,0,0.01121,1.0,15.597,0.269,12.0,1,0,0
198,6.6,0.90741,0.58333,1,0,0.01168,1.0,15.546,0.275,12.0,1,0,0
199,6.6333,0.90741,0.58333,1,0,0.01203,1.0,15.541,0.277,12.0,1,0,0
200,6.6667,0.90741,0.58333,1,0,0.01184,1.0,15.43,0.29,12.0,1,0,0
201,6.7,0.90741,0.58333,1,0,0.0111,1.0,15.44,0.283,12.0,1,0,0
202,6.7333,0.90741,0.58333,1,0,0.01207,1.0,15.406,0.266,12.0,1,0,0
